差不注ワード,注記
レディース・アンド・ジェントルメン,要注意/性差別(差不注DB)
クリーブランド・インディアンス,→クリーブランド・ガーディアンズ/人種民族差別(差不注DB)
かったいの瘡うらみ,差別用語/病気差別(差不注DB)
スコッチウイスキー,OK/地域差別(差不注DB)
スポーツマンシップ,→フェアプレイ精神、アスリートスピリッツ/性差別(差不注DB)
アンタッチャブル,差別用語/地域差別(差不注DB)
インターセックス,→性分化疾患/性差別(差不注DB)
ガラパゴス症候群,要注意/地域差別(差不注DB)
キチガイを野放し,差別用語/障害者差別(差不注DB)
気も狂わんばかり,差別用語/障害(QC資料)
目に見えない恐怖,要注意/その他注意語(差不注DB)
アウトカースト,要注意/地域差別(差不注DB)
ガラの悪い,差別用語/部落差別(差不注DB)
キチガイに刃物,差別用語/障害者差別(差不注DB)
スチュワーデス,→客室乗務員、キャビンアテンダント/性差別(差不注DB)
セールスレディ,差別用語/性差別(差不注DB)
チョコレート屋,要注意（軽視的表現）/職業(QC資料)
パンチョッパリ,差別用語/地域差別(差不注DB)
乞丐の瘡うらみ,差別用語/病気差別(差不注DB)
広汎性発達障害,→自閉症スペクトラム/障害者差別(差不注DB)
人の血が入って,差別用語/障害(QC資料)
日本のチベット,差別用語/地域差別(差不注DB)
アイヌの反乱,差別用語/人種民族差別(差不注DB)
アボリジニー,→アボリジナル、アボリジナル・ピープル/人種民族差別(差不注DB)
インディアン,→ネイティブアメリカンなど/人種民族差別(差不注DB)
ガラパゴス化,要注意/地域差別(差不注DB)
キチガイじみ,差別用語/障害者差別(差不注DB)
キチガイ沙汰,差別用語/障害者差別(差不注DB)
スポーツマン,→アスリート/性差別(差不注DB)
ビジネスマン,→ビジネスパーソン/性差別(差不注DB)
狂ったように,差別用語/障害(QC資料)
群盲象を撫で,差別用語/障害者差別(差不注DB)
性同一性障害,→性別違和、性別不合/性差別(差不注DB)
地域下位地域,差別用語/部落差別(差不注DB)
頭がおかしい,差別用語/障害(QC資料)
頭のおかしい,差別用語/障害(QC資料)
半チョッパリ,差別用語/地域差別(差不注DB)
盲蛇に怖じず,差別用語/障害者差別(差不注DB)
精神異常者,差別用語/障害者差別(差不注DB)
女の腐った,差別用語/性差別(差不注DB)
LGBTA,OK/性差別(差不注DB)
LGBTI,OK/性差別(差不注DB)
LGBTQ,OK/性差別(差不注DB)
LGBTs,OK/性差別(差不注DB)
アイヌネギ,→行者ニンニク/人種民族差別(差不注DB)
アイヌ征伐,差別用語/人種民族差別(差不注DB)
アボリジニ,→アボリジナル、アボリジナル・ピープル/人種民族差別(差不注DB)
イスラム教,要注意/宗教差別(差不注DB)
イヌイット,OK/人種民族差別(差不注DB)
インジャン,→ネイティブアメリカンなど/人種民族差別(差不注DB)
インディオ,→インディヘナなど/人種民族差別(差不注DB)
うすらばか,不快語/障害(QC資料)
エスキモー,要注意/人種民族差別(差不注DB)
おつむが弱,差別用語/障害(QC資料)
おもちゃ屋,OK/職業(QC資料)
かたちんば,差別用語/障害者差別(差不注DB)
カメラマン,→フォトグラファー/性差別(差不注DB)
サイコパス,要注意/障害者差別(差不注DB)
シンショー,差別用語/障害者差別(差不注DB)
せっけん屋,要注意（軽視的表現）/職業(QC資料)
たれ込み屋,要注意（軽視的表現）/職業(QC資料)
チェアマン,→チェアパーソン/性差別(差不注DB)
チャンコロ,差別用語/地域差別(差不注DB)
チョーセン,差別用語/地域差別(差不注DB)
チョンガー,要注意/地域差別(差不注DB)
つんぼ桟敷,差別用語/障害者差別(差不注DB)
ててなし子,→婚外子/性差別(差不注DB)
ノータリン,差別用語/障害者差別(差不注DB)
ハリジャン,要注意/地域差別(差不注DB)
ハンセン病,OK/病気差別(差不注DB)
ホームレス,OK/職業差別(差不注DB)
やぶにらみ,差別用語/障害(QC資料)
レプロシー,→ハンセン病/病気差別(差不注DB)
煙突掃除夫,要注意（軽視的表現）/職業(QC資料)
汲み取り屋,→清掃員、衛生作業員/職業差別(差不注DB)
結合双生児,要注意（標準内表記）/障害(QC資料)
現地従業員,差別用語/地域差別(差不注DB)
女のクセに,差別用語/性差別(差不注DB)
色キチガイ,差別用語/障害者差別(差不注DB)
食肉処理場,OK/職業差別(差不注DB)
精神障害者,要注意/障害者差別(差不注DB)
精神分裂病,→統合失調症/障害者差別(差不注DB)
石版印刷屋,要注意（軽視的表現）/職業(QC資料)
特殊部落民,差別用語/部落差別(差不注DB)
日雇い人夫,要注意（軽視的表現）/職業(QC資料)
半島出身者,差別用語/地域差別(差不注DB)
皮なめし屋,要注意（軽視的表現）/職業(QC資料)
被差別部落,要注意/部落差別(差不注DB)
不可触賎民,差別用語/地域差別(差不注DB)
分からず屋,OK/人格(QC資料)
精神異常,差別用語/障害者差別(差不注DB)
新しい血,差別用語/障害(QC資料)
AIDS,差別用語/病気差別(差不注DB)
LGBT,OK/性差別(差不注DB)
いかれて,不快語/障害(QC資料)
イヌイト,OK/人種民族差別(差不注DB)
いばり屋,OK/人格(QC資料)
インドン,→インドネシア/地域差別(差不注DB)
うすのろ,不快語/障害(QC資料)
うまずめ,差別用語/性差別(差不注DB)
おまわり,要注意（軽視的表現）/職業(QC資料)
おわい屋,→清掃員、衛生作業員/職業差別(差不注DB)
カーキチ,要注意/障害者差別(差不注DB)
ガイジン,差別用語/地域差別(差不注DB)
かったい,差別用語/病気差別(差不注DB)
かわた村,差別用語/部落差別(差不注DB)
キーマン,→キーパーソン/性差別(差不注DB)
ギッチョ,要注意/その他注意語(差不注DB)
クズ拾い,差別用語/職業差別(差不注DB)
ケーキ屋,OK/職業(QC資料)
コーラン,要注意/宗教差別(差不注DB)
ゴミ集め,差別用語/職業差別(差不注DB)
